date,day_index,baseline_inflow_usd,baseline_outflow_usd,baseline_net_usd,baseline_cash_balance_usd,disturbance_inflow_usd,disturbance_outflow_usd,disturbance_net_usd,disturbance_cash_balance_usd,cash_delta_usd
2026-07-19,18,14634.29,80827.66,-66193.37,534051.88,14634.29,81503.44,-66869.15,516731.78,-17320.1
2026-07-20,19,96703.79,1391.34,95312.45,629364.33,96703.79,3575.97,93127.82,609859.6,-19504.73
2026-07-21,20,1549.06,456.06,1093.0,630457.33,1549.06,2349.98,-800.92,609058.68,-21398.65
2026-07-22,21,29917.67,22415.26,7502.41,637959.74,29917.67,24067.26,5850.41,614909.09,-23050.65
2026-07-23,22,110087.47,132.5,109954.97,747914.71,110087.47,2582.63,107504.84,722413.93,-25500.78
2026-07-24,23,14722.46,68675.13,-53952.67,693962.04,14722.46,70816.85,-56094.39,666319.54,-27642.5
2026-07-25,24,86214.87,13375.92,72838.95,766800.99,86214.87,14829.16,71385.71,737705.25,-29095.74
2026-07-26,25,25157.48,19482.37,5675.11,772476.1,25157.48,21918.36,3239.12,740944.37,-31531.73
2026-07-27,26,85314.3,4987.67,80326.63,852802.73,85314.3,6960.16,78354.14,819298.51,-33504.22
2026-07-28,27,15895.2,17680.75,-1785.55,851017.18,15895.2,19716.31,-3821.11,815477.4,-35539.78
2026-07-29,28,2618.71,12652.6,-10033.89,840983.29,2618.71,15016.63,-12397.92,803079.48,-37903.81
2026-07-30,29,38477.06,14847.08,23629.98,864613.27,38477.06,16085.54,22391.52,825471.0,-39142.27
2026-07-31,30,13628.04,52117.3,-38489.26,826124.01,13628.04,53715.14,-40087.1,785383.9,-40740.11
2026-08-01,31,24207.66,17114.29,7093.37,833217.38,24207.66,17790.03,6417.63,791801.53,-41415.85
2026-08-02,32,4164.74,257.54,3907.2,837124.58,4164.74,990.93,3173.81,794975.34,-42149.24
2026-08-03,33,56779.94,15152.55,41627.39,878751.97,56779.94,17241.13,39538.81,834514.15,-44237.82
2026-08-04,34,3200.98,21268.19,-18067.21,860684.76,3200.98,23260.14,-20059.16,814454.99,-46229.77
2026-08-05,35,12255.55,23323.45,-11067.9,849616.86,12255.55,25805.31,-13549.76,800905.23,-48711.63
2026-08-06,36,24600.22,9480.71,15119.51,864736.37,24600.22,11833.61,12766.61,813671.84,-51064.53
2026-08-07,37,21647.9,4568.99,17078.91,881815.28,21647.9,6632.02,15015.88,828687.72,-53127.56
2026-08-08,38,99352.91,18762.55,80590.36,962405.64,99352.91,20861.62,78491.29,907179.01,-55226.63
2026-08-09,39,24753.98,17708.47,7045.51,969451.15,24753.98,18679.85,6074.13,913253.14,-56198.01
2026-08-10,40,76051.03,22696.65,53354.38,1022805.53,76051.03,23829.04,52221.99,965475.13,-57330.4
2026-08-11,41,17649.2,17074.55,574.65,1023380.18,17649.2,18478.45,-829.25,964645.88,-58734.3
2026-08-12,42,21413.47,22491.69,-1078.22,1022301.96,21413.47,24239.89,-2826.42,961819.46,-60482.5
2026-08-13,43,64773.73,10968.62,53805.11,1076107.07,64773.73,12623.59,52150.14,1013969.6,-62137.47
2026-08-14,44,10660.87,37190.8,-26529.93,1049577.14,10660.87,38754.51,-28093.64,985875.96,-63701.18
2026-08-15,45,7994.29,5725.63,2268.66,1051845.8,7994.29,7311.33,682.96,986558.92,-65286.88
2026-08-16,46,12945.84,31617.5,-18671.66,1033174.14,12945.84,33578.6,-20632.76,965926.16,-67247.98
2026-08-17,47,83246.11,4168.27,79077.84,1112251.98,83246.11,6425.53,76820.58,1042746.74,-69505.24
2026-08-18,48,14862.71,18536.52,-3673.81,1108578.17,14862.71,20182.82,-5320.11,1037426.63,-71151.54
2026-08-19,49,29930.78,18810.08,11120.7,1119698.87,29930.78,20724.04,9206.74,1046633.37,-73065.5
2026-08-20,50,93428.63,3578.2,89850.43,1209549.3,92650.06,4487.29,88162.77,1134796.14,-74753.16
2026-08-21,51,21421.92,46928.24,-25506.32,1184042.98,21064.89,48937.51,-27872.62,1106923.52,-77119.46
2026-08-22,52,12349.92,13412.03,-1062.11,1182980.87,12041.17,14669.67,-2628.5,1104295.02,-78685.85
2026-08-23,53,13710.01,57376.0,-43665.99,1139314.88,13253.01,58880.58,-45627.57,1058667.45,-80647.43
2026-08-24,54,64783.28,12158.94,52624.34,1191939.22,62083.98,13476.85,48607.13,1107274.58,-84664.64
2026-08-25,55,23156.46,305.08,22851.38,1214790.6,21998.64,2001.97,19996.67,1127271.25,-87519.35
2026-08-26,56,16965.25,17904.48,-939.23,1213851.37,15975.61,19602.54,-3626.93,1123644.32,-90207.05
2026-08-27,57,99215.86,23976.87,75238.99,1289090.36,92601.47,25161.92,67439.55,1191083.87,-98006.49
2026-08-28,58,6820.53,40241.7,-33421.17,1255669.19,6308.99,41317.56,-35008.57,1156075.3,-99593.89
2026-08-29,59,73794.03,22796.31,50997.72,1306666.91,67644.53,23574.54,44069.99,1200145.29,-106521.62
2026-08-30,60,3023.84,24321.48,-21297.64,1285369.27,2746.65,26273.67,-23527.02,1176618.27,-108751.0
2026-08-31,61,71155.55,2555.32,68600.23,1353969.5,64039.99,4892.82,59147.17,1235765.44,-118204.06
2026-09-01,62,23702.54,575.57,23126.97,1377096.47,21134.76,2378.3,18756.46,1254521.9,-122574.57
2026-09-02,63,23137.4,9360.88,13776.52,1390872.99,20438.04,9998.72,10439.32,1264961.22,-125911.77
2026-09-03,64,9278.53,2606.17,6672.36,1397545.35,8118.71,4787.05,3331.66,1268292.88,-129252.47
2026-09-04,65,27320.59,11667.02,15653.57,1413198.92,23677.84,12638.83,11039.01,1279331.89,-133867.03
2026-09-05,66,19862.46,4658.02,15204.44,1428403.36,17048.61,6833.0,10215.61,1289547.5,-138855.86
2026-09-06,67,9964.39,29587.21,-19622.82,1408780.54,8469.73,30542.0,-22072.27,1267475.23,-141305.31
2026-09-07,68,72947.33,9482.64,63464.69,1472245.23,61397.34,9482.64,51914.7,1319389.93,-152855.3
2026-09-08,69,22327.49,5139.5,17187.99,1489433.22,18606.24,5139.5,13466.74,1332856.67,-156576.55
2026-09-09,70,23633.7,15093.04,8540.66,1497973.88,19497.8,15093.04,4404.76,1337261.43,-160712.45
2026-09-10,71,13712.08,10362.61,3349.47,1501323.35,11198.2,10362.61,835.59,1338097.02,-163226.33
2026-09-11,72,25905.54,87681.22,-61775.68,1439547.67,20940.31,87681.22,-66740.91,1271356.11,-168191.56
2026-09-12,73,55884.01,12020.92,43863.09,1483410.76,44707.21,12020.92,32686.29,1304042.4,-179368.36
2026-09-13,74,27553.64,55771.48,-28217.84,1455192.92,21813.3,55771.48,-33958.18,1270084.22,-185108.7
2026-09-14,75,3941.6,22818.74,-18877.14,1436315.78,3087.59,22818.74,-19731.15,1250353.07,-185962.71
2026-09-15,76,7446.79,14440.8,-6994.01,1429321.77,5771.26,14440.8,-8669.54,1241683.53,-187638.24
2026-09-16,77,4965.4,846.98,4118.42,1433440.19,3806.81,846.98,2959.83,1244643.36,-188796.83
2026-09-17,78,37376.78,19512.39,17864.39,1451304.58,28344.06,19512.39,8831.67,1253475.03,-197829.55
2026-09-18,79,8327.62,20909.24,-12581.62,1438722.96,6245.71,20909.24,-14663.53,1238811.5,-199911.46
2026-09-19,80,25521.69,12879.34,12642.35,1451365.31,19141.27,12879.34,6261.93,1245073.43,-206291.88
2026-09-20,81,29266.24,43603.95,-14337.71,1437027.6,21949.68,43603.95,-21654.27,1223419.16,-213608.44
2026-09-21,82,66876.64,21515.8,45360.84,1482388.44,50157.48,21515.8,28641.68,1252060.84,-230327.6
2026-09-22,83,16052.09,4611.57,11440.52,1493828.96,12039.07,4611.57,7427.5,1259488.34,-234340.62
2026-09-23,84,8987.88,7748.42,1239.46,1495068.42,6740.91,7748.42,-1007.51,1258480.83,-236587.59
2026-09-24,85,47678.17,10669.72,37008.45,1532076.87,35758.63,10669.72,25088.91,1283569.74,-248507.13
2026-09-25,86,23993.46,33191.76,-9198.3,1522878.57,17995.1,33191.76,-15196.66,1268373.08,-254505.49
2026-09-26,87,56187.82,15624.4,40563.42,1563441.99,42140.87,15624.4,26516.47,1294889.55,-268552.44
2026-09-27,88,11331.78,79473.66,-68141.88,1495300.11,8498.83,79473.66,-70974.83,1223914.72,-271385.39
2026-09-28,89,70494.43,7351.12,63143.31,1558443.42,52870.82,7351.12,45519.7,1269434.42,-289009.0
2026-09-29,90,21421.78,13191.19,8230.59,1566674.01,16066.34,13191.19,2875.15,1272309.57,-294364.44
2026-09-30,91,16033.68,12027.2,4006.48,1570680.49,12025.26,12027.2,-1.94,1272307.63,-298372.86
2026-10-01,92,59641.43,19133.91,40507.52,1611188.01,44731.07,19133.91,25597.16,1297904.79,-313283.22
2026-10-02,93,3089.44,31764.47,-28675.03,1582512.98,2317.08,31764.47,-29447.39,1268457.4,-314055.58
2026-10-03,94,9060.4,18831.16,-9770.76,1572742.22,6795.3,18831.16,-12035.86,1256421.54,-316320.68
2026-10-04,95,8169.06,85255.89,-77086.83,1495655.39,6126.79,85255.89,-79129.1,1177292.44,-318362.95
2026-10-05,96,63189.42,20018.74,43170.68,1538826.07,47392.07,20018.74,27373.33,1204665.77,-334160.3
2026-10-06,97,29367.94,20994.72,8373.22,1547199.29,22025.96,20994.72,1031.24,1205697.01,-341502.28
2026-10-07,98,26009.81,10199.61,15810.2,1563009.49,19507.36,10199.61,9307.75,1215004.76,-348004.73
2026-10-08,99,66206.71,6347.21,59859.5,1622868.99,49655.03,6347.21,43307.82,1258312.58,-364556.41
2026-10-09,100,5883.39,48023.25,-42139.86,1580729.13,4412.54,48023.25,-43610.71,1214701.87,-366027.26
2026-10-10,101,71405.88,8481.78,62924.1,1643653.23,53554.41,8481.78,45072.63,1259774.5,-383878.73
2026-10-11,102,17083.31,84308.75,-67225.44,1576427.79,12812.48,84308.75,-71496.27,1188278.23,-388149.56
2026-10-12,103,66806.59,18020.33,48786.26,1625214.05,50104.94,18020.33,32084.61,1220362.84,-404851.21
2026-10-13,104,24159.45,24718.22,-558.77,1624655.28,18119.59,24718.22,-6598.63,1213764.21,-410891.07
2026-10-14,105,18095.92,20171.25,-2075.33,1622579.95,13571.94,20171.25,-6599.31,1207164.9,-415415.05
2026-10-15,106,115517.92,23610.24,91907.68,1714487.63,86638.44,23610.24,63028.2,1270193.1,-444294.53
2026-10-16,107,4232.46,38607.27,-34374.81,1680112.82,3174.34,38607.27,-35432.93,1234760.17,-445352.65
2026-10-17,108,38878.81,2173.13,36705.68,1716818.5,29159.11,2173.13,26985.98,1261746.15,-455072.35
2026-10-18,109,18997.22,69910.94,-50913.72,1665904.78,14247.91,69910.94,-55663.03,1206083.12,-459821.66
2026-10-19,110,101775.37,3069.42,98705.95,1764610.73,76331.53,3069.42,73262.11,1279345.23,-485265.5
2026-10-20,111,26293.32,16073.14,10220.18,1774830.91,19719.99,16073.14,3646.85,1282992.08,-491838.83
2026-10-21,112,21118.38,22765.6,-1647.22,1773183.69,15838.78,22765.6,-6926.82,1276065.26,-497118.43
2026-10-22,113,74971.35,8396.65,66574.7,1839758.39,56228.51,8396.65,47831.86,1323897.12,-515861.27
2026-10-23,114,24753.22,34490.63,-9737.41,1830020.98,18564.91,34490.63,-15925.72,1307971.4,-522049.58
2026-10-24,115,4107.37,20766.36,-16658.99,1813361.99,3080.53,20766.36,-17685.83,1290285.57,-523076.42
2026-10-25,116,10355.76,73514.28,-63158.52,1750203.47,7766.82,73514.28,-65747.46,1224538.11,-525665.36
2026-10-26,117,43530.95,21526.7,22004.25,1772207.72,32648.21,21526.7,11121.51,1235659.62,-536548.1
2026-10-27,118,6585.32,24363.68,-17778.36,1754429.36,4938.99,24363.68,-19424.69,1216234.93,-538194.43
2026-10-28,119,23392.76,2855.95,20536.81,1774966.17,17544.57,2855.95,14688.62,1230923.55,-544042.62
