co_id,customer_id,order_date,quantity_units,unit_price_usd,total_value_usd,fulfillment_date,payment_term_days,invoice_due_date
CO-022,CUST-22,2026-07-10,119,87.7,10436.3,2026-07-24,60,2026-09-22
CO-023,CUST-01,2026-09-18,23,184.69,4247.87,2026-09-29,45,2026-11-13
CO-024,CUST-17,2026-07-24,179,239.84,42931.36,2026-08-09,45,2026-09-23
CO-025,CUST-03,2026-08-20,52,157.9,8210.8,2026-09-04,30,2026-10-04
CO-026,CUST-12,2026-09-12,84,243.4,20445.6,2026-09-27,30,2026-10-27
CO-027,CUST-13,2026-07-02,31,97.13,3011.03,2026-07-19,60,2026-09-17
CO-028,CUST-18,2026-09-28,54,137.21,7409.34,2026-10-10,30,2026-11-09
CO-029,CUST-10,2026-07-07,109,137.91,15032.19,2026-07-15,45,2026-08-29
CO-030,CUST-21,2026-07-29,133,186.92,24860.36,2026-08-10,30,2026-09-09
CO-031,CUST-21,2026-09-11,268,173.16,46406.88,2026-09-23,60,2026-11-22
CO-032,CUST-17,2026-09-20,118,150.15,17717.7,2026-09-25,60,2026-11-24
CO-033,CUST-24,2026-08-06,170,238.23,40499.1,2026-08-22,30,2026-09-21
CO-034,CUST-23,2026-07-30,32,205.78,6584.96,2026-08-04,30,2026-09-03
CO-035,CUST-20,2026-08-28,236,134.41,31720.76,2026-09-04,30,2026-10-04
CO-036,CUST-04,2026-07-09,252,224.01,56450.52,2026-07-20,45,2026-09-03
CO-037,CUST-20,2026-07-12,163,156.24,25467.12,2026-07-25,60,2026-09-23
CO-038,CUST-21,2026-08-26,72,214.57,15449.04,2026-09-06,30,2026-10-06
CO-039,CUST-21,2026-07-14,61,245.62,14982.82,2026-08-02,45,2026-09-16
CO-040,CUST-05,2026-09-13,182,230.91,42025.62,2026-09-19,60,2026-11-18
CO-041,CUST-12,2026-07-17,28,209.46,5864.88,2026-08-03,45,2026-09-17
CO-042,CUST-07,2026-08-11,193,199.16,38437.88,2026-08-24,45,2026-10-08
CO-043,CUST-02,2026-08-07,24,167.27,4014.48,2026-08-14,30,2026-09-13
CO-044,CUST-01,2026-09-27,164,241.03,39528.92,2026-10-14,45,2026-11-28
CO-045,CUST-19,2026-09-12,201,199.86,40171.86,2026-09-26,60,2026-11-25
CO-046,CUST-07,2026-07-13,145,163.75,23743.75,2026-07-19,45,2026-09-02
CO-047,CUST-20,2026-08-31,20,195.78,3915.6,2026-09-13,60,2026-11-12
CO-048,CUST-17,2026-08-13,136,243.75,33150.0,2026-08-30,30,2026-09-29
CO-049,CUST-15,2026-09-23,168,87.38,14679.84,2026-10-08,30,2026-11-07
CO-050,CUST-04,2026-08-26,246,198.22,48762.12,2026-09-01,60,2026-10-31
CO-051,CUST-09,2026-07-01,33,130.06,4291.98,2026-07-10,45,2026-08-24
CO-052,CUST-22,2026-08-26,278,233.2,64829.6,2026-09-10,45,2026-10-25
CO-053,CUST-16,2026-08-05,175,137.06,23985.5,2026-08-19,45,2026-10-03
CO-054,CUST-18,2026-08-10,47,93.21,4380.87,2026-08-18,60,2026-10-17
CO-055,CUST-22,2026-09-22,164,127.56,20919.84,2026-10-09,30,2026-11-08
CO-056,CUST-13,2026-07-06,65,92.95,6041.75,2026-07-12,60,2026-09-10
CO-057,CUST-05,2026-07-05,29,238.56,6918.24,2026-07-16,30,2026-08-15
CO-058,CUST-22,2026-08-18,84,161.66,13579.44,2026-09-02,30,2026-10-02
CO-059,CUST-25,2026-07-01,196,222.52,43613.92,2026-07-10,60,2026-09-08
CO-060,CUST-06,2026-07-03,216,249.95,53989.2,2026-07-12,60,2026-09-10
CO-061,CUST-05,2026-09-12,72,240.61,17323.92,2026-09-19,30,2026-10-19
CO-062,CUST-21,2026-07-01,97,114.86,11141.42,2026-07-08,30,2026-08-07
CO-063,CUST-13,2026-08-01,279,118.87,33164.73,2026-08-07,60,2026-10-06
CO-064,CUST-08,2026-08-03,58,194.17,11261.86,2026-08-13,45,2026-09-27
CO-065,CUST-03,2026-07-05,287,218.79,62792.73,2026-07-23,45,2026-09-06
CO-066,CUST-25,2026-07-23,131,161.61,21170.91,2026-08-11,30,2026-09-10
CO-067,CUST-21,2026-08-07,85,216.86,18433.1,2026-08-23,45,2026-10-07
CO-068,CUST-06,2026-09-17,117,188.23,22022.91,2026-10-02,60,2026-12-01
CO-069,CUST-02,2026-09-26,268,167.38,44857.84,2026-10-15,45,2026-11-29
CO-070,CUST-23,2026-07-05,125,226.6,28325.0,2026-07-22,45,2026-09-05
CO-071,CUST-24,2026-09-26,292,123.9,36178.8,2026-10-05,45,2026-11-19
CO-072,CUST-06,2026-08-12,72,139.06,10012.32,2026-08-27,60,2026-10-26
CO-073,CUST-15,2026-09-18,268,158.22,42402.96,2026-10-07,60,2026-12-06
CO-074,CUST-22,2026-07-04,27,110.61,2986.47,2026-07-16,30,2026-08-15
CO-075,CUST-03,2026-08-01,214,167.59,35864.26,2026-08-07,30,2026-09-06
CO-076,CUST-19,2026-08-11,296,108.72,32181.12,2026-08-28,45,2026-10-12
CO-077,CUST-21,2026-07-12,20,170.85,3417.0,2026-07-26,45,2026-09-09
CO-078,CUST-02,2026-07-27,97,136.12,13203.64,2026-08-09,45,2026-09-23
CO-079,CUST-25,2026-08-25,66,186.74,12324.84,2026-09-12,60,2026-11-11
CO-080,CUST-16,2026-08-05,80,80.44,6435.2,2026-08-10,30,2026-09-09
